filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_34.sol,eval,1,3,1.0,0.5159010600706714,0.6806526806526806,1.0,0.6206896551724138,1.0,0.7659574468085107,0.9699453551912568
buggy_35.sol,eval,1,3,0.9178082191780822,0.4962962962962963,0.6442307692307692,0.9178082191780822,0.6071428571428571,1.0,0.7555555555555554,0.964573268921095
buggy_36.sol,eval,3,3,0.9795918367346939,0.508833922261484,0.6697674418604651,0.9795918367346939,0.6140350877192983,0.9722222222222222,0.7526881720430108,0.9656716417910448
buggy_37.sol,eval,1,3,1.0,0.5074074074074074,0.6732186732186731,1.0,0.6538461538461539,1.0,0.7906976744186047,0.9639278557114228
buggy_38.sol,eval,1,3,1.0,0.5301724137931034,0.6929577464788732,1.0,0.6222222222222222,0.9655172413793104,0.7567567567567567,0.9582366589327146
buggy_39.sol,eval,3,3,1.0,0.3793103448275862,0.5499999999999999,1.0,1.0,1.0,1.0,1.0
buggy_40.sol,eval,2,2,1.0,0.3402061855670103,0.5076923076923077,1.0,1.0,0.9166666666666666,0.9565217391304348,0.9969834087481146
buggy_41.sol,eval,2,3,1.0,0.44029850746268656,0.6113989637305699,1.0,0.8095238095238095,1.0,0.8947368421052632,0.9867549668874173
buggy_42.sol,eval,1,3,0.9724770642201835,0.5247524752475248,0.6816720257234727,0.9724770642201835,0.6052631578947368,0.92,0.7301587301587301,0.9491017964071856
buggy_43.sol,eval,2,3,1.0,0.375,0.5454545454545454,1.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9961612284069098
buggy_44.sol,eval,2,3,1.0,0.3983402489626556,0.56973293768546,1.0,0.7941176470588235,0.9,0.84375,0.9815837937384899
buggy_45.sol,eval,2,3,0.9690721649484536,0.41964285714285715,0.5856697819314642,0.9690721649484536,0.8235294117647058,1.0,0.9032258064516129,0.984375
buggy_46.sol,eval,3,3,0.9354838709677419,0.5272727272727272,0.6744186046511628,0.9354838709677419,0.5833333333333334,1.0,0.7368421052631579,0.9731182795698925
buggy_47.sol,eval,3,3,0.9444444444444444,0.3238095238095238,0.4822695035460993,0.9444444444444444,0.9444444444444444,0.85,0.8947368421052632,0.985239852398524
buggy_48.sol,eval,2,3,1.0,0.340080971659919,0.5075528700906344,1.0,1.0,0.9032258064516129,0.9491525423728813,0.9937888198757764
buggy_49.sol,eval,3,3,1.0,0.3448275862068966,0.5128205128205129,1.0,1.0,0.9090909090909091,0.9523809523809523,0.993006993006993
buggy_50.sol,eval,3,3,0.9565217391304348,0.32673267326732675,0.48708487084870844,0.9565217391304348,0.9565217391304348,0.88,0.9166666666666666,0.9893899204244032
